Ward,Year,Service Request Type,Count
Beaches-East York (19),2024,Bridge - Graffiti Complaint,8
Beaches-East York (19),2024,Bridge - Surface Repair,1
Beaches-East York (19),2024,Bridge Icy Needs Sand/Salt,1
Beaches-East York (19),2024,Bus Stop Icy Needs Sand/Salt,2
Beaches-East York (19),2024,Bus Stops Snow Clearing Required,2
Beaches-East York (19),2024,Business Complaint,57
Beaches-East York (19),2024,Bylaw Enforcement: Excavation,12
Beaches-East York (19),2024,Cadaver - Domestic,60
Beaches-East York (19),2024,Cadaver - Wildlife,1149
Beaches-East York (19),2024,Catch Basin - Blocked / Flooding,145
Beaches-East York (19),2024,Catch Basin - Damaged Maintenance Requested,14
Beaches-East York (19),2024,Catch Basin - Debris / Litter,15
Beaches-East York (19),2024,Catch Basin -Cover Missing / Damaged / Loose,8
Beaches-East York (19),2024,Catch basin (Storm) - Damage,18
Beaches-East York (19),2024,Catch basin (Storm) - Other,4
Beaches-East York (19),2024,Catch basin (Storm) - Overflowing,42
Beaches-East York (19),2024,Catch basin Maintenance and Repair,13
Beaches-East York (19),2024,Commercial Dog Walkers,1
Beaches-East York (19),2024,Commercial Enterprises,1
Beaches-East York (19),2024,Complaint - Crossing Guard Conduct,22
Beaches-East York (19),2024,Complaint / Investigation - Grass and Weeds Enforcement,45
Beaches-East York (19),2024,Complaint / Investigation - Idling Enforcement,29
Beaches-East York (19),2024,Complaint / Investigation - Leaves,12
Beaches-East York (19),2024,Complaint / Investigation - Water Discharge,29
Beaches-East York (19),2024,Complaint regarding Contractor,132
Beaches-East York (19),2024,Complaint-Access,4
Beaches-East York (19),2024,Complaint-Outcome of the Service,106
Beaches-East York (19),2024,Complaint-Process and Procedures,23
Beaches-East York (19),2024,Complaint-Staff Conduct,19
Beaches-East York (19),2024,Complaint-Time Line of the Service,30
Beaches-East York (19),2024,Complaint/Investigation - Encroachment,232
Beaches-East York (19),2024,Complaint/Investigation -Abandoned Bikes,7
Beaches-East York (19),2024,Compliment-Employee/Operation,5
Beaches-East York (19),2024,Conduct,13
Beaches-East York (19),2024,Construction Noise,169
Beaches-East York (19),2024,Containers,5
Beaches-East York (19),2024,Contaminated Waste/Preparation,5
Beaches-East York (19),2024,Corner Parking Prohibition,1
Beaches-East York (19),2024,Coyote Response - Animal Attack,1
Beaches-East York (19),2024,Coyote Response - Animal Bite,2
Beaches-East York (19),2024,Coyote Response - Danger to Public Safety,20
Beaches-East York (19),2024,Coyote Response - Human Attack,1
Beaches-East York (19),2024,Culverts - Blocked,3
Beaches-East York (19),2024,Culverts-Damaged / Maintenance Requested,1
Beaches-East York (19),2024,Curb - Adjust Height (Too High/Low),25
Beaches-East York (19),2024,Curb - Damaged,15
Beaches-East York (19),2024,Disabled Loading Zone,1
Beaches-East York (19),2024,Disabled Persons' Parking Space,34
Beaches-East York (19),2024,Dispute SR Status/Bins,40
Beaches-East York (19),2024,Dispute SR Status/Collections Curb Day,230
Beaches-East York (19),2024,Dispute SR Status/Collections FEL,13
Beaches-East York (19),2024,Dispute SR Status/Collections Nights,11
Beaches-East York (19),2024,Dispute SR Status/Litter Operations,11
Beaches-East York (19),2024,Dispute SR Status/PRM,1
Beaches-East York (19),2024,District Operations-Attitude and Behavior,6
Beaches-East York (19),2024,District Operations-Compliment,6
Beaches-East York (19),2024,District Operations-Construction Site Unsafe,3
Beaches-East York (19),2024,District Operations-Contractor Related,11
Beaches-East York (19),2024,District Operations-Equipment/Untidy Const Site,1
Beaches-East York (19),2024,District Operations-Process,57
Beaches-East York (19),2024,District Operations-Restoration,27
Beaches-East York (19),2024,District Operations-Timeliness,110
Beaches-East York (19),2024,Ditch Maintenance Requested,5
Beaches-East York (19),2024,Dogs off Leash,136
Beaches-East York (19),2024,Driveway - Damaged / Ponding,38
Beaches-East York (19),2024,Driveway-Blocked By Windrow,3
Beaches-East York (19),2024,Encroachments,11
Beaches-East York (19),2024,Expressway Fence - Damaged,1
Beaches-East York (19),2024,FEL Multi-Res / Recycle Cart / Not Picked Up,8
Beaches-East York (19),2024,FEL Multi-Res Furniture / Not Picked Up,31
Beaches-East York (19),2024,FEL Non-Res / Garbage / Not Picked Up,11
Beaches-East York (19),2024,FEL Non-Res Organic Cart / Not Picked Up,1
Beaches-East York (19),2024,FEL Non-Res Recycle Cart / Not Picked Up,1
Beaches-East York (19),2024,FEL Non-Res Recycle FEL / Not Picked Up,11
Beaches-East York (19),2024,Fence,25
Beaches-East York (19),2024,Fence - Damaged,4
Beaches-East York (19),2024,Fireworks,3
Beaches-East York (19),2024,Free-floating Car Share - Parking Complaint - Communauto Flex,3
Beaches-East York (19),2024,Garbage / Park / Bin Damaged,2
Beaches-East York (19),2024,Garbage / Park / Bin Graffiti on Bin,2
Beaches-East York (19),2024,Garbage / Park / Bin Installation,1
Beaches-East York (19),2024,Garbage / Park / Bin Missing,4
Beaches-East York (19),2024,Garbage / Park / Bin Overflow,15
Beaches-East York (19),2024,General Parking Regulations,9
Beaches-East York (19),2024,Graffiti,51
Beaches-East York (19),2024,Guardrail - Damaged,13
Beaches-East York (19),2024,Heavy Trucks,2
Beaches-East York (19),2024,Hydrant-After Usage Test,4
Beaches-East York (19),2024,Hydrant-Damage,7
Beaches-East York (19),2024,Hydrant-Leaking,28
Beaches-East York (19),2024,Ice and Snow Complaint,9
Beaches-East York (19),2024,Illegal Dumping,28
Beaches-East York (19),2024,Illegal Dumping in Park,9
Beaches-East York (19),2024,Illegal Dumping on Road,17
Beaches-East York (19),2024,Illegal Dumping on Roadside,18
Beaches-East York (19),2024,Illegal Off-Street Parking,127
Beaches-East York (19),2024,Illegal On-Street Parking,39
Beaches-East York (19),2024,Injured - Domestic,38
Beaches-East York (19),2024,Injured - Wildlife,1824
Beaches-East York (19),2024,Intersection Safety Review,23
Beaches-East York (19),2024,Investigate - Animal Care,41
Beaches-East York (19),2024,Investigate - Animal Extreme Condition,4
Beaches-East York (19),2024,Investigate - Animal to Animal Bite,26
Beaches-East York (19),2024,Investigate - Animal to Human Bite,37
Beaches-East York (19),2024,Investigate - Attack to Animal,18
Beaches-East York (19),2024,Investigate - Attack to Human,14
Beaches-East York (19),2024,Investigate - Dog Excrement,15
Beaches-East York (19),2024,Investigate - Dog Frequently At Large,17
Beaches-East York (19),2024,Investigate - Licence,3
Beaches-East York (19),2024,Investigate - Menace,32
Beaches-East York (19),2024,Investigate - Muzzle,3
Beaches-East York (19),2024,Investigate - No Leash,25
Beaches-East York (19),2024,Investigate - Noise,101
Beaches-East York (19),2024,Investigate - Nuisance Cat,2
Beaches-East York (19),2024,Investigate - Pigeons,2
Beaches-East York (19),2024,Investigate - Pit Bull,7
Beaches-East York (19),2024,Investigate - Prohibited Animal,3
Beaches-East York (19),2024,Investigate - Shelter,4
Beaches-East York (19),2024,Investigate - Tether,1
Beaches-East York (19),2024,Investigate - Tied Excessive Time,1
Beaches-East York (19),2024,Investigate - Too Many,9
Beaches-East York (19),2024,Investigate - Unsanitary Conditions,11
Beaches-East York (19),2024,Investigate Guide and Information Signs,1
Beaches-East York (19),2024,Investigate Pavement Markings,20
Beaches-East York (19),2024,Investigate Regulatory Signs,54
Beaches-East York (19),2024,Investigate Temporary Condition Signs,24
Beaches-East York (19),2024,Investigate Vehicles Leaving Roadway,3
Beaches-East York (19),2024,Investigate Warning Signs,16
Beaches-East York (19),2024,Lane Designation,5
Beaches-East York (19),2024,Laneway - Salting / Sanding / Salt,3
Beaches-East York (19),2024,Laneway - Surface Damage,16
Beaches-East York (19),2024,Litter / Bike Removal Inquiry,14
Beaches-East York (19),2024,Litter / Bin / Overflow or Not Picked Up,102
Beaches-East York (19),2024,Litter / Illegal Dumping Cleanup,269
Beaches-East York (19),2024,Litter / Laneway / Clean Up,43
Beaches-East York (19),2024,Litter / Sidewalk & Blvd / Pick Up Request,71
Beaches-East York (19),2024,Litter / Special Event / Pick Up Request,3
Beaches-East York (19),2024,Litter/Needle Cleanup,35
Beaches-East York (19),2024,Loading and Unloading Noise,3
Beaches-East York (19),2024,Long Grass and Weeds,208
Beaches-East York (19),2024,Maintenance Hole - Overflowing,11
Beaches-East York (19),2024,Maintenance Hole-Damage,41
Beaches-East York (19),2024,Maintenance Hole-Missing Cover,2
Beaches-East York (19),2024,Maintenance Holes -Damage / Repair,27
Beaches-East York (19),2024,Maintenance Holes Lid Loose/Missing,56
Beaches-East York (19),2024,Missing/Damaged Flexible Bollards,5
Beaches-East York (19),2024,Missing/Damaged Signs,267
Beaches-East York (19),2024,Missing/Damaged Watch Your Speed Boards,6
Beaches-East York (19),2024,Missing/Faded Pavement Markings,52
Beaches-East York (19),2024,Motor Vehicle Noise,12
Beaches-East York (19),2024,Multi-Res / Furniture Pile / Not Picked Up,20
Beaches-East York (19),2024,Multi-Res / Garbage Cart / Not Picked Up,48
Beaches-East York (19),2024,Multi-Res / Garbage Front-End / Not Picked Up,45
Beaches-East York (19),2024,Multi-Res / Garbage Pile / Not Picked Up,6
Beaches-East York (19),2024,Multi-Res / Nite Furniture Pile / Not Picked Up,2
Beaches-East York (19),2024,Multi-Res / Nite Garbage Pile / Not Picked Up,9
Beaches-East York (19),2024,Multi-Res / Nite Recycle Cart / Not Picked Up,5
Beaches-East York (19),2024,Multi-Res / Nite XMAS Tree / Not Picked Up,1
Beaches-East York (19),2024,Multi-Res / Organic Bin / Not Picked Up,28
Beaches-East York (19),2024,Multi-Res / Organic FEL / Not Picked Up,7
Beaches-East York (19),2024,Multi-Res / Recycle Cart / Not Picked Up,25
Beaches-East York (19),2024,Multi-Res / Recycle Front-End / Not Picked Up,22
Beaches-East York (19),2024,Multi-Res / XMAS Tree / Not Picked Up,1
Beaches-East York (19),2024,Multi-Res / XMAS Tree / Pick Up,2
Beaches-East York (19),2024,Multi-Res / Yard Waste / Not Picked Up,4
Beaches-East York (19),2024,New Traffic Control Signal Request,2
Beaches-East York (19),2024,Non-Res Garbage Bag / Not Picked Up,2
Beaches-East York (19),2024,Non-Res Garbage Bag Nite / Not Picked Up,10
Beaches-East York (19),2024,Non-Res Garbage Bin / Not Picked Up,15
Beaches-East York (19),2024,Non-Res Garbage Bin Nite / Not Picked Up,7
Beaches-East York (19),2024,Non-Res Organic Bin / Not Picked Up,14
Beaches-East York (19),2024,Non-Res Organic Bin Nite / Not Picked Up,23
Beaches-East York (19),2024,Non-Res Recycle Bin / Not Picked Up,22
Beaches-East York (19),2024,Non-Res Recycle Bin Nite / Not Picked Up,26
Beaches-East York (19),2024,One-way Streets,2
Beaches-East York (19),2024,Operator / Operations Compliment,22
Beaches-East York (19),2024,PXO Maintenance,23
Beaches-East York (19),2024,Park Use,87
Beaches-East York (19),2024,Parking in a Public Lane,2
Beaches-East York (19),2024,Pedestrian Crossing Protection,7
Beaches-East York (19),2024,Pedestrian Crossover Operation,5
Beaches-East York (19),2024,Pollution Spill Response,26
Beaches-East York (19),2024,Postering City Property/Structures,5
Beaches-East York (19),2024,Power Device Noise,12
Beaches-East York (19),2024,Prohibited Waste,4
Beaches-East York (19),2024,Property Damaged/Collections Curb Day,15
Beaches-East York (19),2024,Property Damaged/Collections FEL,5
Beaches-East York (19),2024,Property Damaged/Collections Nights,1
Beaches-East York (19),2024,Property Damaged/Litter Operations,2
Beaches-East York (19),2024,Property Standards,936
Beaches-East York (19),2024,Public Spaces Complaint,23
Beaches-East York (19),2024,Publication Request - Solid Waste,158
Beaches-East York (19),2024,RESCU Maintenance,1
Beaches-East York (19),2024,Recycle / Park / Bin Damaged,1
Beaches-East York (19),2024,Recycle / Park / Bin Graffiti on Bin,1
Beaches-East York (19),2024,Recycle / Park / Bin Missing,1
Beaches-East York (19),2024,Recycle / Park / Bin Overflow,3
Beaches-East York (19),2024,Registration - Toronto Water,107
Beaches-East York (19),2024,Res / Above Comm / Organic Green Bin / Not Picked Up,2
Beaches-East York (19),2024,Res / Garbage / Multiple Addresses Not Picked Up,58
Beaches-East York (19),2024,Res / Garbage / Not Picked Up,798
Beaches-East York (19),2024,Res / Garbage Front&Side / Not Picked Up,18
Beaches-East York (19),2024,Res / Nite Garbage / Multiple Addresses / Not Picked Up,1
Beaches-East York (19),2024,Res / Nite Garbage / Not Picked Up,16
Beaches-East York (19),2024,Res / Nite Org&Garbage Front&Side / Not Picked Up,2
Beaches-East York (19),2024,Res / Nite Organic / Not Picked Up,8
Beaches-East York (19),2024,Res / Nite Organic&Garbage / Not Picked Up,2
Beaches-East York (19),2024,Res / Nite Recycle / Not Picked Up,5
Beaches-East York (19),2024,Res / Org&Garbage Front&Side / Not Picked Up,9
Beaches-East York (19),2024,Res / Org&Garbage Multiple Addresses / Not Picked Up,13
Beaches-East York (19),2024,Res / Org&Recycle Front&Side / Not Picked Up,9
Beaches-East York (19),2024,Res / Org&Recycle Multiple Addresses / Not Picked Up,4
Beaches-East York (19),2024,Res / Organic Bin / Additional,133
Beaches-East York (19),2024,Res / Organic Bin / New Account,23
Beaches-East York (19),2024,Res / Organic Bin / Replace Missing,427
Beaches-East York (19),2024,Res / Organic Front&Side / Not Picked Up,11
Beaches-East York (19),2024,Res / Organic Green Bin / Multiple Addresses / Not Picked Up,191
Beaches-East York (19),2024,Res / Organic Green Bin / Not Picked Up,709
Beaches-East York (19),2024,Res / Organic&Garbage / Not Picked Up,49
Beaches-East York (19),2024,Res / Organic&Recycle / Not Picked Up,43
Beaches-East York (19),2024,Res / Recycle / Multiple Addresses / Not Picked Up,95
Beaches-East York (19),2024,Res / Recycle / Not Picked Up,555
Beaches-East York (19),2024,Res / Recycle Front&Side / Not Picked Up,12
Beaches-East York (19),2024,Res / Yard Waste Multiple Addresses / Not Picked Up,89
Beaches-East York (19),2024,Res Above Comm / Nite Garbage / Not Picked Up,20
Beaches-East York (19),2024,Res Above Comm / Nite Recycle / Not Picked Up,10
Beaches-East York (19),2024,Reserved Lane,4
Beaches-East York (19),2024,Residential / Nite Furniture / Not Picked Up,8
Beaches-East York (19),2024,Residential / Nite XMAS Tree / Not Picked Up,1
Beaches-East York (19),2024,Residential / Nite Yard Waste / Not Picked Up,1
Beaches-East York (19),2024,Residential / XMAS Tree / Not Picked Up,47
Beaches-East York (19),2024,Residential / Yard Waste / Not Picked Up,304
Beaches-East York (19),2024,Residential Furniture / Not Picked Up,735
Beaches-East York (19),2024,Residential: Bin: Repair or Replace Body/Handle,558
Beaches-East York (19),2024,Residential: Bin: Repair or Replace Lid,848
Beaches-East York (19),2024,Residential: Bin: Repair or Replace Metal Bar,79
Beaches-East York (19),2024,Residential: Bin: Repair or Replace Wheel,78
Beaches-East York (19),2024,Residential: Bin: Wrong Delivery,170
Beaches-East York (19),2024,Residential: Garbage Bin: Additional Extra Large,22
Beaches-East York (19),2024,Residential: Garbage Bin: Additional Large,12
Beaches-East York (19),2024,Residential: Garbage Bin: Additional Medium,4
Beaches-East York (19),2024,Residential: Garbage Bin: Additional Small,4
Beaches-East York (19),2024,Residential: Garbage Bin: Exchange to Extra Large,95
Beaches-East York (19),2024,Residential: Garbage Bin: Exchange to Large,190
Beaches-East York (19),2024,Residential: Garbage Bin: Exchange to Medium,199
Beaches-East York (19),2024,Residential: Garbage Bin: Exchange to Small,69
Beaches-East York (19),2024,Residential: Garbage Bin: Missing,344
Beaches-East York (19),2024,Residential: Garbage Bin: New Account Extra Large,8
Beaches-East York (19),2024,Residential: Garbage Bin: New Account Large,6
Beaches-East York (19),2024,Residential: Garbage Bin: New Account Medium,5
Beaches-East York (19),2024,Residential: Garbage Bin: New Account Small,3
Beaches-East York (19),2024,Residential: Recycle Bin: Additional Extra Large,59
Beaches-East York (19),2024,Residential: Recycle Bin: Additional Large,21
Beaches-East York (19),2024,Residential: Recycle Bin: Additional Medium,6
Beaches-East York (19),2024,Residential: Recycle Bin: Exchange to Large,114
Beaches-East York (19),2024,Residential: Recycle Bin: Exchange to Medium,67
Beaches-East York (19),2024,Residential: Recycle Bin: Exchange to Small,10
Beaches-East York (19),2024,Residential: Recycle Bin: Missing,399
Beaches-East York (19),2024,Residential: Recycle Bin: New Account Extra Large,9
Beaches-East York (19),2024,Residential: Recycle Bin: New Account Large,7
Beaches-East York (19),2024,Residential: Recycle Bin: New Account Medium,8
Beaches-East York (19),2024,Residential: Recycle Bin: New Account Small,2
Beaches-East York (19),2024,Residential:Recycle Bin:Exchange to Extra Large,129
Beaches-East York (19),2024,Restoration Related,37
Beaches-East York (19),2024,Retaining Wall - Damage / Repair,17
Beaches-East York (19),2024,Road - Cleaning/Debris,248
Beaches-East York (19),2024,Road - Damaged,34
Beaches-East York (19),2024,Road - Graffiti Complaint,15
Beaches-East York (19),2024,Road - Gravel Roads/Construction,2
Beaches-East York (19),2024,Road - Plough Damage,3
Beaches-East York (19),2024,Road - Pot hole,227
Beaches-East York (19),2024,Road - Sanding / Salting Required,37
Beaches-East York (19),2024,Road - Sinking,150
Beaches-East York (19),2024,Road Design,8
Beaches-East York (19),2024,Road Ploughing Required,7
Beaches-East York (19),2024,Road Water Ponding,22
Beaches-East York (19),2024,Roadside Utility Cut - Settlement,9
Beaches-East York (19),2024,Roadway Utility Cut - Settlement,24
Beaches-East York (19),2024,Rooming House,20
Beaches-East York (19),2024,School Crossing Guard - No Show,14
Beaches-East York (19),2024,School Safety Programs,1
Beaches-East York (19),2024,School Zone Safety Review,1
Beaches-East York (19),2024,Service - Protective Custody,7
Beaches-East York (19),2024,Services - Protective Custody,38
Beaches-East York (19),2024,Sewer Odour,43
Beaches-East York (19),2024,Sewer Service Line-Blocked,526
Beaches-East York (19),2024,Sewer Service Line-Cleanout Repair,12
Beaches-East York (19),2024,Sewer main-Backup,7
Beaches-East York (19),2024,Shoulder - Maintenance,1
Beaches-East York (19),2024,Sidewalk - Cleaning,66
Beaches-East York (19),2024,Sidewalk - Damaged / Concrete,83
Beaches-East York (19),2024,Sidewalk - Damaged /Brick/Interlock,16
Beaches-East York (19),2024,Sidewalk - Graffiti Complaint,15
Beaches-East York (19),2024,Sidewalk - Paraplegic Ramps,8
Beaches-East York (19),2024,Sidewalk - Snow Clearing,21
Beaches-East York (19),2024,Sidewalk Icy|| Needs Sand/Salt,8
Beaches-East York (19),2024,Sidewalk-Water Ponding,3
Beaches-East York (19),2024,Sight Line Obstruction,13
Beaches-East York (19),2024,Signs,23
Beaches-East York (19),2024,Sink Hole,82
Beaches-East York (19),2024,Speed Bumps in Laneway,2
Beaches-East York (19),2024,Speed Watch Programme,6
Beaches-East York (19),2024,Speeding,3
Beaches-East York (19),2024,Spills/Cleanup/Collections Curb Day,37
Beaches-East York (19),2024,Spills/Cleanup/Collections Nights,1
Beaches-East York (19),2024,Spills/Cleanup/Litter Operations,3
Beaches-East York (19),2024,Staff Conduct/Collections Curb Day,182
Beaches-East York (19),2024,Staff Conduct/Collections FEL,10
Beaches-East York (19),2024,Staff Conduct/Collections Nights,7
Beaches-East York (19),2024,Staff Conduct/Litter Operations,5
Beaches-East York (19),2024,Staff Conduct/Non-Collections,3
Beaches-East York (19),2024,Stationary Source Noise,35
Beaches-East York (19),2024,Stoop N Scoop,2
Beaches-East York (19),2024,Stray - At Large,38
Beaches-East York (19),2024,Stray - Attack,3
Beaches-East York (19),2024,Stray - Confined,65
Beaches-East York (19),2024,Street furniture damaged,4
Beaches-East York (19),2024,Student Crossing Issues,1
Beaches-East York (19),2024,Student Pick-up/Drop-off Area,1
Beaches-East York (19),2024,TAS Comment / Suggestion,2
Beaches-East York (19),2024,TAS Staff / Service Complaint,12
Beaches-East York (19),2024,TAS Staff / Service Compliment,1
Beaches-East York (19),2024,Taxicab Stand,1
Beaches-East York (19),2024,Taxi|| Limo Complaint,8
Beaches-East York (19),2024,Temporary Signal Timings,1
Beaches-East York (19),2024,Time Limit or Excessive Duration Parking,2
Beaches-East York (19),2024,Trades Complaint,2
Beaches-East York (19),2024,Traffic Calming Measures,19
Beaches-East York (19),2024,Traffic Infiltration,5
Beaches-East York (19),2024,Traffic Island - Damaged,2
Beaches-East York (19),2024,Traffic Island-Grass Needs Cutting,7
Beaches-East York (19),2024,Traffic Sign - Graffiti Complaint,1
Beaches-East York (19),2024,Traffic Signal - Graffiti Complaint,5
Beaches-East York (19),2024,Traffic Signal Maintenance,124
Beaches-East York (19),2024,Trees and Plants,10
Beaches-East York (19),2024,Unknown - 30080-EH,3
Beaches-East York (19),2024,Unknown - 30080-ROE,5
Beaches-East York (19),2024,Unknown - AE-ASE02,18
Beaches-East York (19),2024,Unknown - CSROBKL-01,13
Beaches-East York (19),2024,Unknown - CSROBKL-02,6
Beaches-East York (19),2024,Unknown - CSROBKL-03,1
Beaches-East York (19),2024,Unknown - F--TPPR15,2
Beaches-East York (19),2024,Unknown - F--TPPR9,1
Beaches-East York (19),2024,Unknown - MLSBLEMMVN,31
Beaches-East York (19),2024,Unknown - MLSBLENE,11
Beaches-East York (19),2024,Unknown - SRVCR,33
Beaches-East York (19),2024,Unknown - SWLMALO-14,11
Beaches-East York (19),2024,Unknown - TAS56,1
Beaches-East York (19),2024,Unknown - TASTS,17
Beaches-East York (19),2024,Unknown - TPROW-14,7
Beaches-East York (19),2024,Unknown - TS-STFURN-REQ,75
Beaches-East York (19),2024,Unknown - TSO-CMP01,1
Beaches-East York (19),2024,Unknown - TSO-CMP02,6
Beaches-East York (19),2024,Unknown - TSO-CMP03,2
Beaches-East York (19),2024,Unknown - TSO-CMP04,13
Beaches-East York (19),2024,Unknown - TSO-CMP05,5
Beaches-East York (19),2024,Unknown - TSO-CMP08,2
Beaches-East York (19),2024,Unknown - TSO-CMP12,11
Beaches-East York (19),2024,Unknown - TSO-CMP13,1
Beaches-East York (19),2024,Unknown - TSO-CSOI,1
Beaches-East York (19),2024,Unknown - TSO-PSOI,11
Beaches-East York (19),2024,Unknown - TSO-VSOI,5
Beaches-East York (19),2024,Unknown - TSO-VZ01,3
Beaches-East York (19),2024,Unknown - TSO-VZ08,11
Beaches-East York (19),2024,Unknown - TSO-VZ12,7
Beaches-East York (19),2024,Unknown - TSO-VZ13,3
Beaches-East York (19),2024,Unknown - TSO-VZ14,2
Beaches-East York (19),2024,Unknown - WSLNT,5
Beaches-East York (19),2024,Unknown - cotdrivercomplaint,5
Beaches-East York (19),2024,Unknown - cotdrivercompliment,1
Beaches-East York (19),2024,Unreasonable and Persistent Noise,82
Beaches-East York (19),2024,Vehicles,1
Beaches-East York (19),2024,Walkway - Snow Clearing/ Salting required,1
Beaches-East York (19),2024,Walkway - damaged,70
Beaches-East York (19),2024,Walkway-Weeds Need Cutting,15
Beaches-East York (19),2024,Waste,177
Beaches-East York (19),2024,Waste Storage,31
Beaches-East York (19),2024,Water Meter-Leaking,9
Beaches-East York (19),2024,Water Quality-Discoloured (Rusty or dirty) Water,33
Beaches-East York (19),2024,Water Service Line - Low Pressure|| Low Flow - Ongoing,55
Beaches-East York (19),2024,Water Service Line - Low Pressure|| Low Flow Inspection - (Sudden),56
Beaches-East York (19),2024,Water Service Line-Check Water Service Box,89
Beaches-East York (19),2024,Water Service Line-Leaking,101
Beaches-East York (19),2024,Water Service Line-No Water,74
Beaches-East York (19),2024,Water Service Line-Turn Off,151
Beaches-East York (19),2024,Water Service Line-Turn Off/Burst,53
Beaches-East York (19),2024,Water Service Line-Turn On,133
Beaches-East York (19),2024,Water Service Test for High Lead Content,54
Beaches-East York (19),2024,Water Valve-Leaking,6
Beaches-East York (19),2024,Water-Miscellaneous,2
Beaches-East York (19),2024,Watercourse Investigation,2
Beaches-East York (19),2024,Watermain-Possible Break,64
Beaches-East York (19),2024,West Nile Virus - Standing Water / Roadway,3
Beaches-East York (19),2024,West Nile Virus-Standing Water / Roadside,4
Beaches-East York (19),2024,Wrong Location/Time/Day,89
Beaches-East York (19),2024,Zoning,172
Davenport (09),2021,Access/AODA Complaint,1
Davenport (09),2021,Accessibility Complaint,5
Davenport (09),2021,Adequate Heat,53
Davenport (09),2021,All / Hazardous Waste / Not Picked Up,8
Davenport (09),2021,All / Hazardous Waste / Pick Up Request,449
Davenport (09),2021,All-Way Stop Sign Controls,1
Davenport (09),2021,Alternate Side Parking,2
Davenport (09),2021,Animals,2
Davenport (09),2021,Appliance (Emergency),10
Davenport (09),2021,Application Mail Out / Non-Res,28
Davenport (09),2021,Application Status / Non-Res,8
Davenport (09),2021,Bees/Wasp,5
Davenport (09),2021,Bin Investigation Request,511
Davenport (09),2021,Blocked Access By Parking,2
Davenport (09),2021,Bollard - Damaged,6
Davenport (09),2021,Boulevard - Pick-Up Shopping Carts,3
Davenport (09),2021,Boulevard - Plough Damage,3
Davenport (09),2021,Boulevards - Damaged Asphalt,33
Davenport (09),2021,Boulevards - Snow Piled Too High / Too Much,1
Davenport (09),2021,Boulevards - Weed Removal,11
Davenport (09),2021,Boulevards-Grass Cutting,18
Davenport (09),2021,Bridge - Damaged Structure,1
Davenport (09),2021,Bridge - Debris / Litter,7
Davenport (09),2021,Bridge - Graffiti Complaint,16
Davenport (09),2021,Bridge - Surface Repair,1
Davenport (09),2021,Bridge Falling Debris,3
Davenport (09),2021,Bus Stop Icy Needs Sand/Salt,1
Davenport (09),2021,Business Complaint,1
Davenport (09),2021,By-Law Contravention Invest,50
Davenport (09),2021,Bylaw Enforcement: Excavation,10
Davenport (09),2021,CADAVER DOMESTIC,65
Davenport (09),2021,CADAVER WILDLIFE,462
Davenport (09),2021,Catch Basin - Blocked / Flooding,96
Davenport (09),2021,Catch Basin - Damaged Maintenance Requested,16
Davenport (09),2021,Catch Basin - Debris / Litter,25
Davenport (09),2021,Catch Basin -Cover Missing / Damaged / Loose,6
Davenport (09),2021,Catch basin (Storm) - Damage,36
Davenport (09),2021,Catch basin (Storm) - Other,10
Davenport (09),2021,Catch basin (Storm) - Overflowing,73
Davenport (09),2021,Catch basin Maintenance and Repair,17
Davenport (09),2021,Catch basin on Expressway requires cleaning,1
Davenport (09),2021,Commercial Enterprises,2
Davenport (09),2021,Commercial Loading Zone,2
Davenport (09),2021,Commercial Tree Maint Req,2
Davenport (09),2021,Commercial Tree Pruning,8
Davenport (09),2021,Commercial Tree Removal,2
Davenport (09),2021,Commercial Tree Storm Clean Up,1
Davenport (09),2021,Complaint - Crossing Guard Conduct,3
Davenport (09),2021,Complaint / Investigation - Grass and Weeds Enforcement,9
Davenport (09),2021,Complaint / Investigation - Idling Enforcement,2
Davenport (09),2021,Complaint / Investigation - Leaves,1
Davenport (09),2021,Complaint / Investigation - Water Discharge,18
Davenport (09),2021,Complaint-Disability,1
Davenport (09),2021,Complaint-Outcome of the Service,32
Davenport (09),2021,Complaint-Process and Procedures,27
Davenport (09),2021,Complaint-Staff Conduct,9
Davenport (09),2021,Complaint-Time Line of the Service,36
Davenport (09),2021,Complaint/Investigation - Encroachment,179
Davenport (09),2021,Complaint/Investigation -Abandoned Bikes,5
Davenport (09),2021,Compliment-Employee/Operation,4
Davenport (09),2021,Conduct,2
Davenport (09),2021,Containers,11
Davenport (09),2021,Contaminated Waste/Preparation,8
Davenport (09),2021,Corner Parking Prohibition,4
Davenport (09),2021,Culverts - Blocked,2
Davenport (09),2021,Curb - Adjust Height (Too High/Low),11
Davenport (09),2021,Curb - Damaged,5
Davenport (09),2021,Dangerous Private Tree Investigation,38
Davenport (09),2021,Disabled Loading Zone,2
Davenport (09),2021,Disabled Persons' Parking Space,36
Davenport (09),2021,Dispute SR Status/Bins,83
Davenport (09),2021,Dispute SR Status/Collections Curb Day,121
Davenport (09),2021,Dispute SR Status/Collections FEL,7
Davenport (09),2021,Dispute SR Status/Collections Nights,8
Davenport (09),2021,Dispute SR Status/Litter Operations,8
Davenport (09),2021,District Operations-Attitude and Behavior,4
Davenport (09),2021,District Operations-Compliment,2
Davenport (09),2021,District Operations-Contractor Related,5
Davenport (09),2021,District Operations-Equipment/Untidy Const Site,7
Davenport (09),2021,District Operations-Process,39
