date,agegroup,cases_unvac_rate_per100K,cases_partial_vac_rate_per100K,cases_notfull_vac_rate_per100K,cases_full_vac_rate_per100K,cases_boost_vac_rate_per100K,cases_unvac_rate_7ma,cases_partial_vac_rate_7ma,cases_notfull_vac_rate_7ma,cases_full_vac_rate_7ma,cases_boost_vac_rate_7ma
2022-03-20,ALL,,,7.17,9.22,13.43,,,8.11,11.22,13.02
2022-03-21,0-4yrs,,,5.95,0,0,,,7.05,0,0
2022-03-21,12-17yrs,,,2.53,5.84,4.22,,,6.76,9.21,7.54
2022-03-21,18-39yrs,,,4.65,6.91,14.89,,,9.36,12.56,20.82
2022-03-21,40-59yrs,,,5.65,5.71,10.09,,,7.32,11.28,15
2022-03-21,5-11yrs,,,5.34,6.81,0,,,6.25,10.67,0
2022-03-21,60+,,,33.18,3.27,4.5,,,27.63,8.27,6.96
2022-03-21,ALL,,,6.28,6.02,8.97,,,8.19,11.11,13.13
2022-03-22,0-4yrs,,,4.56,0,0,,,6.8,0,0
2022-03-22,12-17yrs,,,5.05,6.58,10.05,,,6.85,9.15,8.41
2022-03-22,18-39yrs,,,8.53,8.93,17.53,,,9.86,13.02,21.65
2022-03-22,40-59yrs,,,7.45,7.97,10.49,,,7.8,11.59,15.21
2022-03-22,5-11yrs,,,6.05,9.79,0,,,6.41,10.69,0
2022-03-22,60+,,,37.25,5.69,5.64,,,31.23,8.31,7.22
2022-03-22,ALL,,,7.58,8.04,10.36,,,8.49,11.38,13.53
2022-03-23,0-4yrs,,,7.47,0,0,,,6.82,0,0
2022-03-23,12-17yrs,,,6.32,10.56,16.5,,,7.39,8.98,9.53
2022-03-23,18-39yrs,,,10.25,11.95,22.97,,,10.02,12.96,21.69
2022-03-23,40-59yrs,,,7.91,12.65,19.8,,,8.03,11.41,15.48
2022-03-23,5-11yrs,,,6.2,12.19,0,,,6.49,10.42,0
2022-03-23,60+,,,24.03,7.77,8.84,,,30.67,8.08,7.36
2022-03-23,ALL,,,8.41,11.46,16.11,,,8.6,11.24,13.7
2022-03-24,0-4yrs,,,8.02,0,0,,,6.52,0,0
2022-03-24,12-17yrs,,,6.32,9.41,15.46,,,6.5,8.58,10.39
2022-03-24,18-39yrs,,,12.59,15.36,34.4,,,10.03,12.22,23.05
2022-03-24,40-59yrs,,,9.04,13.39,20.06,,,8.13,10.57,15.84
2022-03-24,5-11yrs,,,7.63,12.66,0,,,6.31,10.38,0
2022-03-24,60+,,,28.92,11.77,10.72,,,30.53,8.07,7.75
2022-03-24,ALL,,,9.83,13.41,19.94,,,8.44,10.67,14.34
2022-03-25,0-4yrs,,,9.13,0,0,,,6.99,0,0
2022-03-25,12-17yrs,,,6.32,14.15,11.23,,,6.41,9.26,10.56
2022-03-25,18-39yrs,,,14.16,17.59,38.19,,,10.16,11.83,24.53
2022-03-25,40-59yrs,,,10.41,13.73,22.48,,,8.17,10.52,16.29
2022-03-25,5-11yrs,,,6.1,14.47,0,,,5.97,10.54,0
2022-03-25,60+,,,33.84,10.06,11.02,,,29.87,7.7,8.02
2022-03-25,ALL,,,10.49,15.01,21.74,,,8.48,10.56,14.99
2022-03-26,0-4yrs,,,10.37,0,0,,,7.33,0,0
2022-03-26,12-17yrs,,,5.06,14.2,14.14,,,5.87,9.95,11.69
2022-03-26,18-39yrs,,,12.93,16.52,35.56,,,10.17,12.38,26.22
2022-03-26,40-59yrs,,,8.6,15.28,24.08,,,8.07,11.17,17.56
2022-03-26,5-11yrs,,,7.69,13.3,0,,,6.23,11.41,0
2022-03-26,60+,,,30.07,10.94,10.57,,,30.13,8.13,8.39
2022-03-26,ALL,,,10.43,14.98,21.42,,,8.6,11.16,16
2022-03-27,0-4yrs,,,9.68,0,0,,,7.88,0,0
2022-03-27,12-17yrs,,,5.7,10.7,14.54,,,5.33,10.21,12.31
2022-03-27,18-39yrs,,,8.57,11.88,25.51,,,10.24,12.73,27.01
2022-03-27,40-59yrs,,,7.47,11.98,19.7,,,8.08,11.53,18.1
2022-03-27,5-11yrs,,,7.58,13.96,0,,,6.66,11.88,0
2022-03-27,60+,,,30.13,8.17,9.59,,,31.06,8.24,8.7
2022-03-27,ALL,,,9.07,11.47,17.02,,,8.87,11.48,16.51
2022-03-28,0-4yrs,,,8.58,0,0,,,8.26,0,0
2022-03-28,12-17yrs,,,4.43,10.87,6.81,,,5.6,10.92,12.68
2022-03-28,18-39yrs,,,6.23,8.86,21.14,,,10.47,13.01,27.9
2022-03-28,40-59yrs,,,7.7,8.91,15.5,,,8.37,11.99,18.87
2022-03-28,5-11yrs,,,7.75,11.28,0,,,7,12.52,0
2022-03-28,60+,,,38.06,6.44,7.78,,,31.76,8.69,9.17
2022-03-28,ALL,,,8.54,9.06,13.68,,,9.19,11.92,17.18
2022-03-29,0-4yrs,,,10.51,0,0,,,9.11,0,0
2022-03-29,12-17yrs,,,6.97,6.87,10.42,,,5.87,10.97,12.73
2022-03-29,18-39yrs,,,7.64,9.46,16.93,,,10.34,13.09,27.81
2022-03-29,40-59yrs,,,5.43,8.84,13.51,,,8.08,12.11,19.3
2022-03-29,5-11yrs,,,6.04,8.1,0,,,7,12.28,0
2022-03-29,60+,,,29.46,9.41,7.4,,,30.64,9.22,9.42
2022-03-29,ALL,,,8.4,8.84,11.87,,,9.31,12.03,17.4
2022-03-30,0-4yrs,,,9.96,0,0,,,9.46,0,0
2022-03-30,12-17yrs,,,5.71,12.3,13.14,,,5.79,11.21,12.25
2022-03-30,18-39yrs,,,10.93,18,34.69,,,10.44,13.95,29.49
2022-03-30,40-59yrs,,,11.55,16.47,25.88,,,8.6,12.66,20.17
2022-03-30,5-11yrs,,,9.95,16.87,0,,,7.53,12.95,0
2022-03-30,60+,,,40.51,10.47,10.1,,,33,9.61,9.6
2022-03-30,ALL,,,11.32,15.86,21.54,,,9.73,12.66,18.17
2022-03-31,0-4yrs,,,15.35,0,0,,,10.51,0,0
2022-03-31,12-17yrs,,,12.05,16.56,15.06,,,6.61,12.24,12.19
2022-03-31,18-39yrs,,,12.18,19.05,38.63,,,10.38,14.48,30.09
2022-03-31,40-59yrs,,,11.11,16.24,26.36,,,8.9,13.06,21.07
2022-03-31,5-11yrs,,,11.01,19.07,0,,,8.02,13.86,0
2022-03-31,60+,,,33.7,12.58,13.7,,,33.68,9.72,10.02
2022-03-31,ALL,,,13.33,17.24,24.22,,,10.23,13.21,18.78
2022-04-01,0-4yrs,,,12.72,0,0,,,11.02,0,0
2022-04-01,12-17yrs,,,7.61,16.16,12.71,,,6.79,12.52,12.4
2022-04-01,18-39yrs,,,17.66,22.14,44.33,,,10.88,15.13,30.97
2022-04-01,40-59yrs,,,12.47,23.08,28.69,,,9.19,14.4,21.96
2022-04-01,5-11yrs,,,11.04,16.41,0,,,8.72,14.14,0
2022-04-01,60+,,,38.79,14.35,16.61,,,34.39,10.34,10.82
2022-04-01,ALL,,,14.07,20.19,27.58,,,10.74,13.95,19.62
2022-04-02,0-4yrs,,,14.8,0,0,,,11.66,0,0
2022-04-02,12-17yrs,,,14.6,12.43,13.17,,,8.15,12.27,12.26
2022-04-02,18-39yrs,,,17.52,20.02,35.88,,,11.53,15.63,31.02
2022-04-02,40-59yrs,,,12.03,18.72,29.92,,,9.68,14.89,22.79
2022-04-02,5-11yrs,,,13.86,15.78,0,,,9.6,14.5,0
2022-04-02,60+,,,50.96,15.25,14.59,,,37.37,10.95,11.4
2022-04-02,ALL,,,16.06,17.76,24.93,,,11.54,14.35,20.12
2022-04-03,0-4yrs,,,13.42,0,0,,,12.19,0,0
2022-04-03,12-17yrs,,,12.7,13.08,15.03,,,9.15,12.61,12.33
2022-04-03,18-39yrs,,,12.83,16.6,35.42,,,12.14,16.3,32.43
2022-04-03,40-59yrs,,,11.35,16.86,28.02,,,10.23,15.59,23.98
2022-04-03,5-11yrs,,,10.25,17.44,0,,,9.99,14.99,0
2022-04-03,60+,,,59.2,8.6,17.39,,,41.53,11.01,12.51
2022-04-03,ALL,,,13.78,15.32,25.39,,,12.21,14.9,21.32
2022-04-04,0-4yrs,,,11.62,0,0,,,12.63,0,0
2022-04-04,12-17yrs,,,9.52,9.29,8.83,,,9.88,12.38,12.62
2022-04-04,18-39yrs,,,10.02,10.79,23.8,,,12.68,16.58,32.81
2022-04-04,40-59yrs,,,8.62,9.94,20.15,,,10.37,15.74,24.65
2022-04-04,5-11yrs,,,9.39,16.13,0,,,10.22,15.69,0
2022-04-04,60+,,,44.38,10.71,11.05,,,42.43,11.62,12.98
2022-04-04,ALL,,,11.27,10.8,17.19,,,12.6,15.14,21.82
2022-04-05,0-4yrs,,,11.34,0,0,,,12.74,0,0
2022-04-05,12-17yrs,,,3.81,8.23,6.76,,,9.43,12.58,12.1
2022-04-05,18-39yrs,,,9.24,10.94,19.62,,,12.91,16.79,33.2
2022-04-05,40-59yrs,,,5.45,12.8,18.8,,,10.37,16.3,25.4
2022-04-05,5-11yrs,,,5.87,14.59,0,,,10.2,16.61,0
2022-04-05,60+,,,47.74,9.14,11.04,,,45.04,11.59,13.5
2022-04-05,ALL,,,9.42,11.13,15.63,,,12.75,15.47,22.35
2022-04-06,0-4yrs,,,16.04,0,0,,,13.61,0,0
2022-04-06,12-17yrs,,,12.05,13.13,15.44,,,10.33,12.7,12.43
2022-04-06,18-39yrs,,,14.41,22,36.96,,,13.41,17.36,33.52
2022-04-06,40-59yrs,,,14.08,19.34,31.98,,,10.73,16.71,26.27
2022-04-06,5-11yrs,,,9.86,18.31,0,,,10.18,16.82,0
2022-04-06,60+,,,55.26,16.2,16.85,,,47.15,12.4,14.46
2022-04-06,ALL,,,14.98,19.15,26.82,,,13.27,15.94,23.11
2022-04-07,0-4yrs,,,14.52,0,0,,,13.49,0,0
2022-04-07,12-17yrs,,,15.86,17.28,22.69,,,10.88,12.8,13.52
2022-04-07,18-39yrs,,,17.24,24.1,46.86,,,14.13,18.08,34.7
2022-04-07,40-59yrs,,,14.31,25.31,38.46,,,11.19,18.01,28
2022-04-07,5-11yrs,,,15.77,18,0,,,10.86,16.67,0
2022-04-07,60+,,,74.09,16.75,22.41,,,52.92,13,15.71
2022-04-07,ALL,,,17.63,22.13,33.84,,,13.89,16.64,24.48
2022-04-08,0-4yrs,,,17.7,0,0,,,14.21,0,0
2022-04-08,12-17yrs,,,13.95,16.7,21.87,,,11.78,12.88,14.83
2022-04-08,18-39yrs,,,18.82,22.72,48.05,,,14.3,18.17,35.23
2022-04-08,40-59yrs,,,17.72,26.72,41.45,,,11.94,18.53,29.83
2022-04-08,5-11yrs,,,14.62,24.93,0,,,11.37,17.88,0
2022-04-08,60+,,,67.28,18.74,20.23,,,56.99,13.63,16.22
2022-04-08,ALL,,,18.76,22.64,34.18,,,14.56,16.99,25.43
2022-04-09,0-4yrs,,,13.55,0,0,,,14.03,0,0
2022-04-09,12-17yrs,,,10.79,12.12,19.74,,,11.24,12.83,15.77
2022-04-09,18-39yrs,,,16.79,21.29,40.07,,,14.19,18.35,35.83
2022-04-09,40-59yrs,,,13.86,21.68,37.89,,,12.2,18.95,30.96
2022-04-09,5-11yrs,,,12.28,17.38,0,,,11.15,18.11,0
2022-04-09,60+,,,58.27,17,22.74,,,58.03,13.88,17.39
2022-04-09,ALL,,,15.49,19.33,31.95,,,14.48,17.21,26.43
2022-04-10,0-4yrs,,,16.74,0,0,,,14.5,0,0
2022-04-10,12-17yrs,,,15.87,11.53,17.59,,,11.69,12.61,16.13
2022-04-10,18-39yrs,,,15.07,16.26,35.03,,,14.51,18.3,35.77
2022-04-10,40-59yrs,,,13.18,18.91,34.69,,,12.46,19.24,31.92
2022-04-10,5-11yrs,,,12.92,16.29,781.3,,,11.53,17.95,111.6
2022-04-10,60+,,,64.57,18.26,20.39,,,58.8,15.26,17.82
2022-04-10,ALL,,,16.49,16.53,28.65,,,14.86,17.39,26.89
2022-04-11,0-4yrs,,,10.79,0,0,,,14.38,0,0
2022-04-11,12-17yrs,,,10.16,8.46,10.39,,,11.78,12.49,16.35
2022-04-11,18-39yrs,,,10.68,10.03,25.07,,,14.61,18.19,35.95
2022-04-11,40-59yrs,,,7.95,10.24,24.75,,,12.36,19.29,32.57
2022-04-11,5-11yrs,,,9.07,11.33,0,,,11.48,17.26,111.6
2022-04-11,60+,,,35.97,10.99,15.1,,,57.6,15.3,18.39
2022-04-11,ALL,,,10.74,10.09,20.62,,,14.79,17.29,27.38
2022-04-12,0-4yrs,,,13.42,0,0,,,14.68,0,0
2022-04-12,12-17yrs,,,10.79,8.16,14.25,,,12.78,12.48,17.42
2022-04-12,18-39yrs,,,12.57,11.13,21.92,,,15.08,18.22,36.28
2022-04-12,40-59yrs,,,9.32,11.96,22.28,,,12.92,19.17,33.07
2022-04-12,5-11yrs,,,7.14,10.34,0,,,11.67,16.65,111.6
2022-04-12,60+,,,44.48,10.82,13.44,,,57.13,15.54,18.74
2022-04-12,ALL,,,11.96,10.84,18.44,,,15.15,17.24,27.79
2022-04-13,0-4yrs,,,15.21,0,0,,,14.56,0,0
2022-04-13,12-17yrs,,,11.43,16.65,15.47,,,12.69,12.99,17.43
2022-04-13,18-39yrs,,,12.26,21.37,37.96,,,14.78,18.13,36.42
2022-04-13,40-59yrs,,,12.28,21.81,39.04,,,12.66,19.52,34.08
2022-04-13,5-11yrs,,,13.11,15.23,763.4,,,12.13,16.21,220.7
2022-04-13,60+,,,69.6,20.09,22.85,,,59.18,16.09,19.59
2022-04-13,ALL,,,15.24,20.18,31.72,,,15.19,17.39,28.49
2022-04-14,0-4yrs,,,17.43,0,0,,,14.98,0,0
2022-04-14,12-17yrs,,,13.33,15.28,12.19,,,12.33,12.7,15.93
2022-04-14,18-39yrs,,,19.5,23.33,48.56,,,15.1,18.02,36.67
2022-04-14,40-59yrs,,,18.43,27.32,42.78,,,13.25,19.81,34.7
2022-04-14,5-11yrs,,,15.52,19.85,0,,,12.09,16.48,220.7
2022-04-14,60+,,,95.11,19.22,30.16,,,62.18,16.45,20.7
2022-04-14,ALL,,,20.09,22.49,38.53,,,15.54,17.44,29.16
2022-04-15,0-4yrs,,,16.6,0,0,,,14.82,0,0
2022-04-15,12-17yrs,,,12.05,11.44,14.68,,,12.06,11.95,14.9
2022-04-15,18-39yrs,,,14.63,21.59,45.55,,,14.5,17.86,36.31
2022-04-15,40-59yrs,,,16.16,23.82,39.89,,,13.03,19.39,34.47
2022-04-15,5-11yrs,,,8.37,17.11,724.6,,,11.2,15.36,324.2
2022-04-15,60+,,,76.62,20.86,29.9,,,63.52,16.75,22.08
2022-04-15,ALL,,,15.88,20.33,36.81,,,15.13,17.11,29.53
2022-04-16,0-4yrs,,,17.43,0,0,,,15.37,0,0
2022-04-16,12-17yrs,,,7.61,10.22,20.3,,,11.61,11.68,14.98
2022-04-16,18-39yrs,,,16.37,16.95,42.6,,,14.44,17.24,36.67
2022-04-16,40-59yrs,,,16.16,23.27,40.27,,,13.35,19.62,34.81
2022-04-16,5-11yrs,,,10.03,19.99,0,,,10.88,15.73,324.2
2022-04-16,60+,,,79.04,25.36,32.09,,,66.48,17.94,23.42
2022-04-16,ALL,,,16.74,18.87,37.14,,,15.31,17.05,30.27
2022-04-17,0-4yrs,,,11.89,0,0,,,14.68,0,0
2022-04-17,12-17yrs,,,6.34,5.43,11.33,,,10.24,10.81,14.09
2022-04-17,18-39yrs,,,9.61,8.91,22.69,,,13.66,16.19,34.91
2022-04-17,40-59yrs,,,10.25,9.71,22.53,,,12.94,18.3,33.08
2022-04-17,5-11yrs,,,6.9,9.47,0,,,10.02,14.76,212.6
2022-04-17,60+,,,71.86,15.02,20.99,,,67.53,17.48,23.5
2022-04-17,ALL,,,11.63,9.4,21.7,,,14.61,16.03,29.28
2022-04-18,0-4yrs,,,11.34,0,0,,,14.76,0,0
2022-04-18,12-17yrs,,,5.7,6.83,5.02,,,9.61,10.57,13.32
2022-04-18,18-39yrs,,,9.45,8.81,20.19,,,13.48,16.01,34.21
2022-04-18,40-59yrs,,,10.24,9.8,21.37,,,13.26,18.24,32.59
2022-04-18,5-11yrs,,,6.01,9.94,0,,,9.58,14.56,212.6
2022-04-18,60+,,,39.34,12.88,18.29,,,68.01,17.75,23.96
2022-04-18,ALL,,,10.05,9.36,19.46,,,14.51,15.92,29.11
2022-04-19,0-4yrs,,,4.7,0,0,,,13.51,0,0
2022-04-19,12-17yrs,,,6.33,2.95,3.13,,,8.97,9.83,11.73
2022-04-19,18-39yrs,,,6.77,4.61,9.85,,,12.66,15.08,32.49
2022-04-19,40-59yrs,,,3.41,5.35,10.26,,,12.42,17.3,30.88
2022-04-19,5-11yrs,,,4.06,1.94,0,,,9.14,13.36,212.6
2022-04-19,60+,,,37.48,9.85,9.57,,,67.01,17.61,23.41
2022-04-19,ALL,,,6.04,4.95,9.72,,,13.67,15.08,27.87
2022-04-20,0-4yrs,,,3.18,0,0,,,11.8,0,0
2022-04-20,12-17yrs,,,3.17,3.42,2.5,,,7.79,7.94,9.88
2022-04-20,18-39yrs,,,3.63,5.71,9,,,11.42,12.84,28.35
2022-04-20,40-59yrs,,,3.64,5.61,8.34,,,11.18,14.98,26.49
2022-04-20,5-11yrs,,,1.95,2.9,0,,,7.55,11.6,103.5
2022-04-20,60+,,,25.87,5.56,8.19,,,60.76,15.54,21.31
2022-04-20,ALL,,,3.83,5.12,8.32,,,12.04,12.93,24.53
2022-04-21,0-4yrs,,,17.84,0,0,,,11.85,0,0
2022-04-21,12-17yrs,,,11.39,12.3,13.03,,,7.51,7.51,10
2022-04-21,18-39yrs,,,26.65,20.35,49.24,,,12.44,12.42,28.45
2022-04-21,40-59yrs,,,20.73,25.74,47.14,,,11.51,14.76,27.11
2022-04-21,5-11yrs,,,12.34,19.81,0,,,7.09,11.59,103.5
2022-04-21,60+,,,135.8,28.39,40.07,,,66.57,16.85,22.73
2022-04-21,ALL,,,22.65,21.51,44.08,,,12.4,12.79,25.32
2022-04-22,0-4yrs,,,14.11,0,0,,,11.5,0,0
2022-04-22,12-17yrs,,,12.02,11.54,12.36,,,7.51,7.53,9.67
2022-04-22,18-39yrs,,,19.25,20.26,46.41,,,13.1,12.23,28.57
2022-04-22,40-59yrs,,,17.54,24.2,45.6,,,11.71,14.81,27.93
2022-04-22,5-11yrs,,,11,19.29,0,,,7.47,11.91,0
2022-04-22,60+,,,104.5,30.8,34.97,,,70.56,18.27,23.45
2022-04-22,ALL,,,18.05,21.22,40.77,,,12.71,12.92,25.88
2022-04-23,0-4yrs,,,12.86,0,0,,,10.85,0,0
2022-04-23,12-17yrs,,,10.76,9.37,14.74,,,7.96,7.41,8.87
2022-04-23,18-39yrs,,,17.05,12.84,35.01,,,13.2,11.64,27.48
2022-04-23,40-59yrs,,,18.46,18.27,34.53,,,12.04,14.1,27.11
2022-04-23,5-11yrs,,,8.6,13.47,598.8,,,7.27,10.97,85.54
2022-04-23,60+,,,117.1,22.21,32.85,,,75.99,17.82,23.56
2022-04-23,ALL,,,17.1,14.88,33.54,,,12.76,12.35,25.37
2022-04-24,0-4yrs,,,15.35,0,0,,,11.34,0,0
2022-04-24,12-17yrs,,,9.49,10.32,15.87,,,8.41,8.1,9.52
2022-04-24,18-39yrs,,,20.37,16.97,38.57,,,14.74,12.79,29.75
2022-04-24,40-59yrs,,,17.78,19.53,38.02,,,13.11,15.5,29.32
2022-04-24,5-11yrs,,,8.62,13.18,0,,,7.51,11.5,85.54
2022-04-24,60+,,,116.1,21.71,34.35,,,82.31,18.77,25.47
2022-04-24,ALL,,,18.34,16.95,36.18,,,13.72,13.43,27.44
2022-04-25,0-4yrs,,,7.05,0,0,,,10.73,0,0
2022-04-25,12-17yrs,,,5.06,4.54,7.3,,,8.32,7.78,9.85
2022-04-25,18-39yrs,,,8.69,7.99,17.78,,,14.63,12.68,29.41
2022-04-25,40-59yrs,,,7.98,11.18,18.45,,,12.79,15.7,28.91
2022-04-25,5-11yrs,,,4.39,6.23,0,,,7.28,10.97,85.54
2022-04-25,60+,,,85.7,12.67,17,,,88.94,18.74,25.29
2022-04-25,ALL,,,9.47,8.71,17.43,,,13.64,13.33,27.15
2022-04-26,0-4yrs,,,11.2,0,0,,,11.66,0,0
2022-04-26,12-17yrs,,,4.43,2.35,7.9,,,8.05,7.69,10.53
2022-04-26,18-39yrs,,,8.69,5.98,14.6,,,14.9,12.87,30.09
2022-04-26,40-59yrs,,,9.8,6.38,15.02,,,13.7,15.84,29.59
2022-04-26,5-11yrs,,,4.85,7.18,0,,,7.39,11.72,85.54
2022-04-26,60+,,,63.08,11.97,17.06,,,92.59,19.04,26.36
2022-04-26,ALL,,,10.17,6.39,15.57,,,14.23,13.54,27.98
2022-04-27,0-4yrs,,,9.96,0,0,,,12.62,0,0
2022-04-27,12-17yrs,,,8.22,6.27,7.86,,,8.77,8.1,11.29
2022-04-27,18-39yrs,,,12.81,11.51,25.76,,,16.22,13.7,32.48
2022-04-27,40-59yrs,,,11.17,13.43,27.9,,,14.78,16.96,32.38
2022-04-27,5-11yrs,,,4.55,8.36,0,,,7.76,12.5,85.54
2022-04-27,60+,,,79.19,20.73,27.88,,,100.2,21.21,29.17
2022-04-27,ALL,,,11.7,12.08,26.87,,,15.35,14.53,30.63
2022-04-28,0-4yrs,,,9.68,0,0,,,11.46,0,0
2022-04-28,12-17yrs,,,8.21,6.44,7.23,,,8.31,7.26,10.47
2022-04-28,18-39yrs,,,13.76,14.43,32.17,,,14.37,12.85,30.04
2022-04-28,40-59yrs,,,14.37,14.86,32.45,,,13.87,15.41,30.28
2022-04-28,5-11yrs,,,8.19,10.97,0,,,7.17,11.24,85.54
2022-04-28,60+,,,90.66,22.24,33.07,,,93.76,20.33,28.17
2022-04-28,ALL,,,13.63,14.07,32.05,,,14.07,13.47,28.92
2022-04-29,0-4yrs,,,8.99,0,0,,,10.73,0,0
2022-04-29,12-17yrs,,,4.43,4.56,7.78,,,7.23,6.26,9.81
2022-04-29,18-39yrs,,,9.97,10.22,25.88,,,13.05,11.42,27.11
2022-04-29,40-59yrs,,,10.27,11.3,23.65,,,12.83,13.56,27.15
2022-04-29,5-11yrs,,,4.56,9.76,0,,,6.25,9.88,85.54
2022-04-29,60+,,,65.27,24.68,25.24,,,88.16,19.46,26.78
2022-04-29,ALL,,,9.93,11.35,24.51,,,12.91,12.06,26.59
2022-04-30,0-4yrs,,,9.82,0,0,,,10.29,0,0
2022-04-30,12-17yrs,,,4.42,5.03,7.77,,,6.32,5.64,8.82
2022-04-30,18-39yrs,,,11.24,11.48,25.56,,,12.22,11.23,25.76
2022-04-30,40-59yrs,,,10.73,13.96,23.33,,,11.73,12.95,25.55
2022-04-30,5-11yrs,,,6.38,8.56,0,,,5.93,9.18,0
2022-04-30,60+,,,81.24,15.37,25.27,,,83.03,18.48,25.7
2022-04-30,ALL,,,11.49,11.43,24.34,,,12.1,11.57,25.28
2022-05-01,0-4yrs,,,8.71,0,0,,,9.34,0,0
2022-05-01,12-17yrs,,,5.68,5.51,9.52,,,5.78,4.96,7.91
2022-05-01,18-39yrs,,,9.82,8.41,20.13,,,10.71,10,23.13
2022-05-01,40-59yrs,,,6.62,10.07,21.06,,,10.13,11.6,23.12
2022-05-01,5-11yrs,,,7,4.98,0,,,5.7,8.01,0
2022-05-01,60+,,,68.03,15.94,19.41,,,76.17,17.66,23.56
2022-05-01,ALL,,,9.98,9,19.88,,,10.91,10.43,22.95
2022-05-02,0-4yrs,,,6.92,0,0,,,9.33,0,0
2022-05-02,12-17yrs,,,3.79,2.36,5.35,,,5.6,4.65,7.63
2022-05-02,18-39yrs,,,4.59,3.93,10.51,,,10.13,9.42,22.09
2022-05-02,40-59yrs,,,6.62,5.24,10.55,,,9.94,10.75,21.99
2022-05-02,5-11yrs,,,3.05,2.37,0,,,5.51,7.45,0
2022-05-02,60+,,,29.63,11,12.97,,,68.16,17.42,22.99
2022-05-02,ALL,,,5.94,4.72,11.39,,,10.41,9.86,22.09
2022-05-03,0-4yrs,,,8.3,0,0,,,8.91,0,0
2022-05-03,12-17yrs,,,3.15,3,1.19,,,5.41,4.74,6.67
2022-05-03,18-39yrs,,,6.81,5.09,12.4,,,9.86,9.3,21.77
2022-05-03,40-59yrs,,,6.39,4.99,12.99,,,9.45,10.55,21.7
2022-05-03,5-11yrs,,,2.59,3.08,0,,,5.19,6.87,0
2022-05-03,60+,,,52.84,10.65,14.4,,,66.69,17.23,22.61
2022-05-03,ALL,,,7.39,5.24,13.13,,,10.01,9.7,21.74
2022-05-04,0-4yrs,,,9.41,0,0,,,8.83,0,0
2022-05-04,12-17yrs,,,5.68,3.63,4.14,,,5.05,4.36,6.14
2022-05-04,18-39yrs,,,9.67,8.22,22.52,,,9.41,8.83,21.31
2022-05-04,40-59yrs,,,9.59,10.91,21,,,9.23,10.19,20.72
2022-05-04,5-11yrs,,,5.79,5.21,0,,,5.37,6.42,0
2022-05-04,60+,,,68.3,16.56,24.47,,,65.14,16.63,22.12
2022-05-04,ALL,,,10.29,8.97,22.4,,,9.81,9.25,21.1
2022-05-05,0-4yrs,,,8.02,0,0,,,8.6,0,0
2022-05-05,12-17yrs,,,5.68,5.05,8.25,,,4.69,4.16,6.29
2022-05-05,18-39yrs,,,9.68,8.77,22.71,,,8.83,8.02,19.96
2022-05-05,40-59yrs,,,8,10.09,23.87,,,8.32,9.51,19.49
2022-05-05,5-11yrs,,,4.27,6.39,0,,,4.81,5.76,0
2022-05-05,60+,,,107.2,17.9,26.68,,,67.5,16.01,21.21
2022-05-05,ALL,,,10.52,9.43,24.33,,,9.36,8.59,20
2022-05-06,0-4yrs,,,6.78,0,0,,,8.28,0,0
2022-05-06,12-17yrs,,,8.83,4.43,5.88,,,5.32,4.14,6.01
2022-05-06,18-39yrs,,,10.16,8.78,22.33,,,8.85,7.81,19.45
2022-05-06,40-59yrs,,,7.77,11.01,21.38,,,7.96,9.47,19.17
2022-05-06,5-11yrs,,,3.36,5.67,0,,,4.63,5.18,0
2022-05-06,60+,,,77.03,15.18,21.96,,,69.18,14.66,20.74
2022-05-06,ALL,,,9.29,9.21,21.5,,,9.27,8.29,19.57
2022-05-07,0-4yrs,,,7.47,0,0,,,7.94,0,0
2022-05-07,12-17yrs,,,3.78,3.32,7.03,,,5.23,3.9,5.91
2022-05-07,18-39yrs,,,7.46,8.18,19.43,,,8.31,7.34,18.58
2022-05-07,40-59yrs,,,8.46,8.68,18.98,,,7.64,8.71,18.55
2022-05-07,5-11yrs,,,5.04,5.43,0,,,4.44,4.73,0
2022-05-07,60+,,,59.94,15.78,19.28,,,66.14,14.72,19.88
2022-05-07,ALL,,,8.51,8.27,18.94,,,8.85,7.83,18.8
2022-05-08,0-4yrs,,,6.36,0,0,,,7.61,0,0
2022-05-08,12-17yrs,,,5.67,2.69,4.09,,,5.23,3.5,5.13
2022-05-08,18-39yrs,,,8.42,6.67,17.85,,,8.11,7.09,18.25
2022-05-08,40-59yrs,,,8,8.11,16.05,,,7.83,8.43,17.83
2022-05-08,5-11yrs,,,3.98,5.65,0,,,4.01,4.83,0
2022-05-08,60+,,,58.99,12.82,19.58,,,64.85,14.27,19.91
2022-05-08,ALL,,,8.18,7.1,17.67,,,8.59,7.56,18.48
2022-05-09,0-4yrs,,,7.61,0,0,,,7.71,0,0
2022-05-09,12-17yrs,,,2.52,3.33,1.75,,,5.04,3.64,4.62
2022-05-09,18-39yrs,,,5.08,3.38,9.26,,,8.18,7.01,18.07
2022-05-09,40-59yrs,,,3.2,4.85,9.6,,,7.34,8.38,17.7
2022-05-09,5-11yrs,,,3.06,3.76,0,,,4.01,5.03,0
2022-05-09,60+,,,48.76,10.6,12.96,,,67.58,14.21,19.9
2022-05-09,ALL,,,6.21,4.59,10.68,,,8.63,7.54,18.38
2022-05-10,0-4yrs,,,6.09,0,0,,,7.39,0,0
